statistic,month_text,coicop_item,value
Consumer Price Index,2025 February,Eggs,101.1
Consumer Price Index,2025 March,"Milk, cheese and eggs",105.8
Consumer Price Index,2025 March,Fresh whole milk,112.7
Consumer Price Index,2025 March,Yoghurt,102
Consumer Price Index,2025 March,Cheese and curd,102.1
Consumer Price Index,2025 March,Eggs,100.9
Consumer Price Index,2025 April,"Milk, cheese and eggs",105.4
Consumer Price Index,2025 April,Fresh whole milk,113
Consumer Price Index,2025 April,Yoghurt,100.1
Consumer Price Index,2025 April,Cheese and curd,103.1
Consumer Price Index,2025 April,Eggs,101
Consumer Price Index,2025 May,"Milk, cheese and eggs",105.8
Consumer Price Index,2025 May,Fresh whole milk,113
Consumer Price Index,2025 May,Yoghurt,101.2
Consumer Price Index,2025 May,Cheese and curd,102.1
Consumer Price Index,2025 May,Eggs,101.3
Consumer Price Index,2025 June,"Milk, cheese and eggs",106.5
Consumer Price Index,2025 June,Fresh whole milk,113.1
Consumer Price Index,2025 June,Yoghurt,101.2
Consumer Price Index,2025 June,Cheese and curd,103.5
Consumer Price Index,2025 June,Eggs,101.3
Consumer Price Index,2025 July,"Milk, cheese and eggs",105.5
Consumer Price Index,2025 July,Fresh whole milk,113.1
Consumer Price Index,2025 July,Yoghurt,98.9
Consumer Price Index,2025 July,Cheese and curd,103.2
Consumer Price Index,2025 July,Eggs,101.3
Consumer Price Index,2025 August,"Milk, cheese and eggs",107.1
Consumer Price Index,2025 August,Fresh whole milk,113.1
Consumer Price Index,2025 August,Yoghurt,100.4
Consumer Price Index,2025 August,Cheese and curd,105.3
Consumer Price Index,2025 August,Eggs,104.2
